"Length"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Editor","FullControl","Directo","S-1-5-21-2670458586-3816332535-3559088070-1009","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Editor","FullControl","Directo","S-1-5-21-2670458586-3816332535-3559088070-500","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Reader","ReadAndExecute, Synchronize","Directo","S-1-5-21-3563694127-1956592650-1539829234-10308","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Editor","Modify, Synchronize","Directo","S-1-5-21-3563694127-1956592650-1539829234-10962","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Editor","Modify, Synchronize","Directo","INTERVIAL\dbeovic","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Reader","ReadAndExecute, Synchronize","Directo","INTERVIAL\Grupo Concesiones","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Editor","Modify, Synchronize","Directo","INTERVIAL\Grupo Contabilidad","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Reader","Read, Synchronize","Directo","INTERVIAL\Grupo Finanzas","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Reader","ReadAndExecute, Synchronize","Directo","INTERVIAL\Grupo Tesoreria","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Reader","ReadAndExecute, Synchronize","Directo","INTERVIAL\Grupo Planificacion Financiera","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Reader","ReadAndExecute, Synchronize","Directo","INTERVIAL\Grupo Remuneraciones","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Reader","ReadAndExecute, Synchronize","Directo","INTERVIAL\mhernandez","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Editor","Modify, Synchronize","Directo","S-1-5-21-3563694127-1956592650-1539829234-2399","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Editor","FullControl","Directo","INTERVIAL\administrador","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Editor","FullControl","Directo","S-1-5-21-3563694127-1956592650-1539829234-5176","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Editor","FullControl","Directo","S-1-5-21-3563694127-1956592650-1539829234-5490","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Editor","Modify, Synchronize","Directo","S-1-5-21-3563694127-1956592650-1539829234-5597","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Editor","FullControl","Directo","INTERVIAL\adm_jcm","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Editor","FullControl","Directo","S-1-5-21-3563694127-1956592650-1539829234-6057","True"
"~$rmulario SIC- SOLPED 2025 1.docx","\\192.168.98.19\UnidadX\1CONTABILIDAD\Solped y EM\~$rmulario SIC- SOLPED 2025 1.docx",,"Editor","FullControl","Directo","INTERVIAL\unisysadmin","True"
